Date,Close
1/2/2014 16:00:00,42.99
1/3/2014 16:00:00,43.19
1/6/2014 16:00:00,43.28
1/7/2014 16:00:00,42.85
1/8/2014 16:00:00,42.36
1/9/2014 16:00:00,42.16
1/10/2014 16:00:00,41.98
1/13/2014 16:00:00,41.53
1/14/2014 16:00:00,42.33
1/15/2014 16:00:00,42.45
1/16/2014 16:00:00,41.25
1/17/2014 16:00:00,41.01
1/21/2014 16:00:00,41.37
1/22/2014 16:00:00,42.25
1/23/2014 16:00:00,40.84
1/24/2014 16:00:00,39.57
1/27/2014 16:00:00,39.36
1/28/2014 16:00:00,40.07
1/29/2014 16:00:00,39.22
1/30/2014 16:00:00,39.51
1/31/2014 16:00:00,39.48
2/3/2014 16:00:00,38.91
2/4/2014 16:00:00,38.23
2/5/2014 16:00:00,38.66
2/6/2014 16:00:00,39.11
2/7/2014 16:00:00,39.89
2/10/2014 16:00:00,40.11
2/11/2014 16:00:00,40.53
2/12/2014 16:00:00,40.65
2/13/2014 16:00:00,40.67
2/14/2014 16:00:00,40.78
2/18/2014 16:00:00,40.53
2/19/2014 16:00:00,39.95
2/20/2014 16:00:00,40.12
2/21/2014 16:00:00,39.99
2/24/2014 16:00:00,40.16
2/25/2014 16:00:00,40.39
2/26/2014 16:00:00,40.39
2/27/2014 16:00:00,39.89
2/28/2014 16:00:00,40.6
3/3/2014 16:00:00,39.88
3/4/2014 16:00:00,40.7
3/5/2014 16:00:00,40.67
3/6/2014 16:00:00,40.94
3/7/2014 16:00:00,41.33
3/10/2014 16:00:00,42.45
3/11/2014 16:00:00,42.45
3/12/2014 16:00:00,42.93
3/13/2014 16:00:00,42.4
3/14/2014 16:00:00,42.51
3/17/2014 16:00:00,42.56
3/18/2014 16:00:00,42.93
3/19/2014 16:00:00,42.66
3/20/2014 16:00:00,42.7
3/21/2014 16:00:00,42.67
3/24/2014 16:00:00,42.3
3/25/2014 16:00:00,42.41
3/26/2014 16:00:00,42.7
3/27/2014 16:00:00,43.1
3/28/2014 16:00:00,43.21
3/31/2014 16:00:00,43.39
4/1/2014 16:00:00,43.43
4/2/2014 16:00:00,43.43
4/3/2014 16:00:00,43.15
4/4/2014 16:00:00,43.05
4/7/2014 16:00:00,43.6
4/8/2014 16:00:00,43.53
4/9/2014 16:00:00,44.38
4/10/2014 16:00:00,44.17
4/11/2014 16:00:00,44.41
4/14/2014 16:00:00,44.69
4/15/2014 16:00:00,44.27
4/16/2014 16:00:00,45.02
4/17/2014 16:00:00,45.04
4/21/2014 16:00:00,44.89
4/22/2014 16:00:00,44.61
4/23/2014 16:00:00,44.73
4/24/2014 16:00:00,44.63
4/25/2014 16:00:00,44.42
4/28/2014 16:00:00,44.38
4/29/2014 16:00:00,43.23
4/30/2014 16:00:00,43.73
5/1/2014 16:00:00,43.24
5/2/2014 16:00:00,43.55
5/5/2014 16:00:00,43.41
5/6/2014 16:00:00,43.14
5/7/2014 16:00:00,44.27
5/8/2014 16:00:00,44.07
5/9/2014 16:00:00,44.39
5/12/2014 16:00:00,44.67
5/13/2014 16:00:00,44.31
5/14/2014 16:00:00,43.85
5/15/2014 16:00:00,43.53
5/16/2014 16:00:00,43.82
5/19/2014 16:00:00,43.89
5/20/2014 16:00:00,43.33
5/21/2014 16:00:00,43.86
5/22/2014 16:00:00,43.65
5/23/2014 16:00:00,43.56
5/27/2014 16:00:00,44.32
5/28/2014 16:00:00,44.29
5/29/2014 16:00:00,44.64
5/30/2014 16:00:00,44.94
6/2/2014 16:00:00,44.85
6/3/2014 16:00:00,44.35
6/4/2014 16:00:00,44.31
6/5/2014 16:00:00,44.97
6/6/2014 16:00:00,45.18
6/9/2014 16:00:00,45.14
6/10/2014 16:00:00,45.14
6/11/2014 16:00:00,44.66
6/12/2014 16:00:00,43.47
6/13/2014 16:00:00,43.84
6/16/2014 16:00:00,44.22
6/17/2014 16:00:00,44.41
6/18/2014 16:00:00,44.43
6/19/2014 16:00:00,45.12
6/20/2014 16:00:00,44.87
6/23/2014 16:00:00,44.98
6/24/2014 16:00:00,44.28
6/25/2014 16:00:00,43.89
6/26/2014 16:00:00,43.93
6/27/2014 16:00:00,43.82
6/30/2014 16:00:00,44.11
7/1/2014 16:00:00,44.85
7/2/2014 16:00:00,45.32
7/3/2014 16:00:00,45.77
7/7/2014 16:00:00,46.5
7/8/2014 16:00:00,45.94
7/9/2014 16:00:00,46.15
7/10/2014 16:00:00,47.35
7/11/2014 16:00:00,47.85
7/14/2014 16:00:00,48.07
7/15/2014 16:00:00,47.54
7/16/2014 16:00:00,47.76
7/17/2014 16:00:00,47.32
7/18/2014 16:00:00,48.1
7/21/2014 16:00:00,48.08
7/22/2014 16:00:00,48.2
7/23/2014 16:00:00,48.29
7/24/2014 16:00:00,48.43
7/25/2014 16:00:00,48.12
7/28/2014 16:00:00,48.07
7/29/2014 16:00:00,47.57
7/30/2014 16:00:00,46.74
7/31/2014 16:00:00,46.4
8/1/2014 16:00:00,46.57
8/4/2014 16:00:00,46.95
8/5/2014 16:00:00,48.56
8/6/2014 16:00:00,48.64
8/7/2014 16:00:00,48.52
8/8/2014 16:00:00,49.04
8/11/2014 16:00:00,49.81
8/12/2014 16:00:00,49.64
8/13/2014 16:00:00,50.04
8/14/2014 16:00:00,49.97
8/15/2014 16:00:00,49.74
8/18/2014 16:00:00,49.79
8/19/2014 16:00:00,49.69
8/20/2014 16:00:00,49.8
8/21/2014 16:00:00,49.57
8/22/2014 16:00:00,49.14
8/25/2014 16:00:00,49.46
8/26/2014 16:00:00,49.2
8/27/2014 16:00:00,49.58
8/28/2014 16:00:00,49.75
8/29/2014 16:00:00,49.86
9/2/2014 16:00:00,50.06
9/3/2014 16:00:00,49.93
9/4/2014 16:00:00,50.2
9/5/2014 16:00:00,50.36
9/8/2014 16:00:00,50.53
9/9/2014 16:00:00,50.46
9/10/2014 16:00:00,50.67
9/11/2014 16:00:00,50.92
9/12/2014 16:00:00,50.41
9/15/2014 16:00:00,50.56
9/16/2014 16:00:00,51.26
9/17/2014 16:00:00,51.2
9/18/2014 16:00:00,52.06
9/19/2014 16:00:00,51.69
9/22/2014 16:00:00,51.46
9/23/2014 16:00:00,50.77
9/24/2014 16:00:00,51.46
9/25/2014 16:00:00,50.48
9/26/2014 16:00:00,50.87
9/29/2014 16:00:00,51.3
9/30/2014 16:00:00,51.1
10/1/2014 16:00:00,50.4
10/2/2014 16:00:00,50.53
10/3/2014 16:00:00,51.11
10/6/2014 16:00:00,50.59
10/7/2014 16:00:00,49.57
10/8/2014 16:00:00,48.02
10/9/2014 16:00:00,47.13
10/10/2014 16:00:00,46.36
10/13/2014 16:00:00,44.76
10/14/2014 16:00:00,43.08
10/15/2014 16:00:00,42.98
10/16/2014 16:00:00,43.17
10/17/2014 16:00:00,44.5
10/20/2014 16:00:00,45.4
10/21/2014 16:00:00,45.7
10/22/2014 16:00:00,45.76
10/23/2014 16:00:00,45.54
10/24/2014 16:00:00,45.58
10/27/2014 16:00:00,44.62
10/28/2014 16:00:00,45.69
10/29/2014 16:00:00,45.82
10/30/2014 16:00:00,46.58
10/31/2014 16:00:00,47
11/3/2014 16:00:00,47.25
11/4/2014 16:00:00,49.54
11/5/2014 16:00:00,50.31
11/6/2014 16:00:00,49.97
11/7/2014 16:00:00,50.55
11/10/2014 16:00:00,50.77
11/11/2014 16:00:00,51.12
11/12/2014 16:00:00,50.71
11/13/2014 16:00:00,50.81
11/14/2014 16:00:00,51.35
11/17/2014 16:00:00,51.99
11/18/2014 16:00:00,52.01
11/19/2014 16:00:00,52.22
11/20/2014 16:00:00,52.57
11/21/2014 16:00:00,52.71
11/24/2014 16:00:00,52.95
11/25/2014 16:00:00,52.93
11/26/2014 16:00:00,53.18
11/28/2014 16:00:00,52.68
12/1/2014 16:00:00,52.46
12/2/2014 16:00:00,53.31
12/3/2014 16:00:00,53.71
12/4/2014 16:00:00,52.78
12/5/2014 16:00:00,53.25
12/8/2014 16:00:00,52.46
12/9/2014 16:00:00,53.04
12/10/2014 16:00:00,51.27
12/11/2014 16:00:00,50.9
12/12/2014 16:00:00,49.85
12/15/2014 16:00:00,49.83
12/16/2014 16:00:00,49.32
12/17/2014 16:00:00,49.64
12/18/2014 16:00:00,51.16
12/19/2014 16:00:00,52.24
12/22/2014 16:00:00,52.72
12/23/2014 16:00:00,53.17
12/24/2014 16:00:00,53.11
12/26/2014 16:00:00,53.42
12/29/2014 16:00:00,53.13
12/30/2014 16:00:00,52.89
12/31/2014 16:00:00,52
1/2/2015 16:00:00,52.02
