Date,Close
1/2/2014 16:00:00,22.69
1/3/2014 16:00:00,22.88
1/6/2014 16:00:00,22.89
1/7/2014 16:00:00,23.39
1/8/2014 16:00:00,23.21
1/9/2014 16:00:00,23.3
1/10/2014 16:00:00,23.55
1/13/2014 16:00:00,24.37
1/14/2014 16:00:00,24.55
1/15/2014 16:00:00,24.38
1/16/2014 16:00:00,24.59
1/17/2014 16:00:00,24.69
1/21/2014 16:00:00,24.77
1/22/2014 16:00:00,24.94
1/23/2014 16:00:00,22.24
1/24/2014 16:00:00,21.58
1/27/2014 16:00:00,21.58
1/28/2014 16:00:00,21.95
1/29/2014 16:00:00,21.89
1/30/2014 16:00:00,22.45
1/31/2014 16:00:00,22.6
2/3/2014 16:00:00,22.49
2/4/2014 16:00:00,22.92
2/5/2014 16:00:00,22.25
2/6/2014 16:00:00,22.33
2/7/2014 16:00:00,22.67
2/10/2014 16:00:00,23.15
2/11/2014 16:00:00,23.06
2/12/2014 16:00:00,23.77
2/13/2014 16:00:00,23.51
2/14/2014 16:00:00,23.33
2/18/2014 16:00:00,23.91
2/19/2014 16:00:00,23.49
2/20/2014 16:00:00,24.06
2/21/2014 16:00:00,24.13
2/24/2014 16:00:00,24.15
2/25/2014 16:00:00,24.23
2/26/2014 16:00:00,24.27
2/27/2014 16:00:00,24.23
2/28/2014 16:00:00,23.37
3/3/2014 16:00:00,23.39
3/4/2014 16:00:00,23.76
3/5/2014 16:00:00,24.05
3/6/2014 16:00:00,24.15
3/7/2014 16:00:00,26.23
3/10/2014 16:00:00,26.53
3/11/2014 16:00:00,25.64
3/12/2014 16:00:00,25.83
3/13/2014 16:00:00,25.56
3/14/2014 16:00:00,25.54
3/17/2014 16:00:00,25.53
3/18/2014 16:00:00,25.87
3/19/2014 16:00:00,25.92
3/20/2014 16:00:00,25.92
3/21/2014 16:00:00,24.95
3/24/2014 16:00:00,24.34
3/25/2014 16:00:00,23.74
3/26/2014 16:00:00,23.83
3/27/2014 16:00:00,23.68
3/28/2014 16:00:00,23
3/31/2014 16:00:00,23.87
4/1/2014 16:00:00,24.32
4/2/2014 16:00:00,24.46
4/3/2014 16:00:00,23.62
4/4/2014 16:00:00,22.35
4/7/2014 16:00:00,22.91
4/8/2014 16:00:00,22.93
4/9/2014 16:00:00,23.19
4/10/2014 16:00:00,22.35
4/11/2014 16:00:00,21.91
4/14/2014 16:00:00,21.8
4/15/2014 16:00:00,22.37
4/16/2014 16:00:00,23.71
4/17/2014 16:00:00,24.03
4/21/2014 16:00:00,24.39
4/22/2014 16:00:00,25.29
4/23/2014 16:00:00,25.03
4/24/2014 16:00:00,24.8
4/25/2014 16:00:00,23.45
4/28/2014 16:00:00,23.64
4/29/2014 16:00:00,24.28
4/30/2014 16:00:00,24.9
5/1/2014 16:00:00,24.57
5/2/2014 16:00:00,24.72
5/5/2014 16:00:00,24.48
5/6/2014 16:00:00,24.2
5/7/2014 16:00:00,24
5/8/2014 16:00:00,23.66
5/9/2014 16:00:00,21.47
5/12/2014 16:00:00,20.32
5/13/2014 16:00:00,19.74
5/14/2014 16:00:00,19.84
5/15/2014 16:00:00,19.74
5/16/2014 16:00:00,19.62
5/19/2014 16:00:00,19.8
5/20/2014 16:00:00,19.29
5/21/2014 16:00:00,19.3
5/22/2014 16:00:00,19.89
5/23/2014 16:00:00,19.93
5/27/2014 16:00:00,21.12
5/28/2014 16:00:00,20.6
5/29/2014 16:00:00,20.48
5/30/2014 16:00:00,20.49
6/2/2014 16:00:00,20.32
6/3/2014 16:00:00,20.1
6/4/2014 16:00:00,20.26
6/5/2014 16:00:00,21
6/6/2014 16:00:00,20.78
6/9/2014 16:00:00,21.35
6/10/2014 16:00:00,21.6
6/11/2014 16:00:00,21.13
6/12/2014 16:00:00,21.32
6/13/2014 16:00:00,21.27
6/16/2014 16:00:00,21.25
6/17/2014 16:00:00,21.05
6/18/2014 16:00:00,21.47
6/19/2014 16:00:00,21.7
6/20/2014 16:00:00,21.5
6/23/2014 16:00:00,21
6/24/2014 16:00:00,20.84
6/25/2014 16:00:00,21.34
6/26/2014 16:00:00,21.08
6/27/2014 16:00:00,21.31
6/30/2014 16:00:00,21.21
7/1/2014 16:00:00,22.4
7/2/2014 16:00:00,22.33
7/3/2014 16:00:00,22.24
7/7/2014 16:00:00,21.78
7/8/2014 16:00:00,21.85
7/9/2014 16:00:00,21.86
7/10/2014 16:00:00,21.64
7/11/2014 16:00:00,21.69
7/14/2014 16:00:00,21.83
7/15/2014 16:00:00,20.99
7/16/2014 16:00:00,21.24
7/17/2014 16:00:00,20.99
7/18/2014 16:00:00,21.33
7/21/2014 16:00:00,21.35
7/22/2014 16:00:00,21.75
7/23/2014 16:00:00,22.04
7/24/2014 16:00:00,21.67
7/25/2014 16:00:00,21.54
7/28/2014 16:00:00,21.03
7/29/2014 16:00:00,21.2
7/30/2014 16:00:00,21.37
7/31/2014 16:00:00,20.78
8/1/2014 16:00:00,20.81
8/4/2014 16:00:00,21.31
8/5/2014 16:00:00,21.59
8/6/2014 16:00:00,21.8
8/7/2014 16:00:00,21.59
8/8/2014 16:00:00,21.22
8/11/2014 16:00:00,22.05
8/12/2014 16:00:00,21.63
8/13/2014 16:00:00,22.16
8/14/2014 16:00:00,21.9
8/15/2014 16:00:00,21.69
8/18/2014 16:00:00,21.84
8/19/2014 16:00:00,22.14
8/20/2014 16:00:00,22.13
8/21/2014 16:00:00,22.4
8/22/2014 16:00:00,22.43
8/25/2014 16:00:00,22.82
8/26/2014 16:00:00,23.44
8/27/2014 16:00:00,23.52
8/28/2014 16:00:00,23.49
8/29/2014 16:00:00,23.52
9/2/2014 16:00:00,23.37
9/3/2014 16:00:00,23.14
9/4/2014 16:00:00,22.49
9/5/2014 16:00:00,21.66
9/8/2014 16:00:00,21.4
9/9/2014 16:00:00,21.23
9/10/2014 16:00:00,21.38
9/11/2014 16:00:00,21.28
9/12/2014 16:00:00,21.01
9/15/2014 16:00:00,20.8
9/16/2014 16:00:00,21.09
9/17/2014 16:00:00,20.94
9/18/2014 16:00:00,20.97
9/19/2014 16:00:00,20.59
9/22/2014 16:00:00,20.49
9/23/2014 16:00:00,20.13
9/24/2014 16:00:00,20.26
9/25/2014 16:00:00,20.26
9/26/2014 16:00:00,20.62
9/29/2014 16:00:00,20.49
9/30/2014 16:00:00,20.13
10/1/2014 16:00:00,19.58
10/2/2014 16:00:00,19.97
10/3/2014 16:00:00,20.45
10/6/2014 16:00:00,20.09
10/7/2014 16:00:00,19.36
10/8/2014 16:00:00,19.63
10/9/2014 16:00:00,19.26
10/10/2014 16:00:00,18.84
10/13/2014 16:00:00,18.89
10/14/2014 16:00:00,18.81
10/15/2014 16:00:00,19.73
10/16/2014 16:00:00,20.06
10/17/2014 16:00:00,21.23
10/20/2014 16:00:00,20.41
10/21/2014 16:00:00,20.03
10/22/2014 16:00:00,20.13
10/23/2014 16:00:00,20.4
10/24/2014 16:00:00,20.26
10/27/2014 16:00:00,20.49
10/28/2014 16:00:00,20.72
10/29/2014 16:00:00,20.69
10/30/2014 16:00:00,21.11
10/31/2014 16:00:00,21.36
11/3/2014 16:00:00,21.07
11/4/2014 16:00:00,21.13
11/5/2014 16:00:00,21.02
11/6/2014 16:00:00,21.24
11/7/2014 16:00:00,22.62
11/10/2014 16:00:00,22.62
11/11/2014 16:00:00,23.05
11/12/2014 16:00:00,23.54
11/13/2014 16:00:00,22.97
11/14/2014 16:00:00,22.87
11/17/2014 16:00:00,22.73
11/18/2014 16:00:00,22.9
11/19/2014 16:00:00,22.66
11/20/2014 16:00:00,22.91
11/21/2014 16:00:00,23.2
11/24/2014 16:00:00,23.61
11/25/2014 16:00:00,23.47
11/26/2014 16:00:00,23.57
11/28/2014 16:00:00,23.48
12/1/2014 16:00:00,24.16
12/2/2014 16:00:00,24.24
12/3/2014 16:00:00,24.23
12/4/2014 16:00:00,23.68
12/5/2014 16:00:00,24.38
12/8/2014 16:00:00,24.41
12/9/2014 16:00:00,24.56
12/10/2014 16:00:00,24.37
12/11/2014 16:00:00,24.91
12/12/2014 16:00:00,24.59
12/15/2014 16:00:00,23.75
12/16/2014 16:00:00,24.47
12/17/2014 16:00:00,25.6
12/18/2014 16:00:00,25.48
12/19/2014 16:00:00,25.55
12/22/2014 16:00:00,25.34
12/23/2014 16:00:00,24.9
12/24/2014 16:00:00,26.1
12/26/2014 16:00:00,26.38
12/29/2014 16:00:00,25.92
12/30/2014 16:00:00,25.62
12/31/2014 16:00:00,25.72
1/2/2015 16:00:00,25.41
1/5/2015 16:00:00,25.24
1/6/2015 16:00:00,24.77
1/7/2015 16:00:00,25.21
1/8/2015 16:00:00,25.75
1/9/2015 16:00:00,26.07
1/12/2015 16:00:00,26.29
1/13/2015 16:00:00,26.34
1/14/2015 16:00:00,26.9
1/15/2015 16:00:00,25.93
1/16/2015 16:00:00,26.61
1/20/2015 16:00:00,26.45
1/21/2015 16:00:00,26.38
